"","Number","Cell","Slice","Date","Sample","blah","cell_num","donor_id","Mouse date of birth","age","biological_sex","genotype","Targeted layer","Inferred layer","Cre","Exon reads","Intron reads","Intergenic reads","Sequencing batch","Number of genes detected","RNA family","RNA type","RNA type confidence","RNA type top-3","ALM/VISp top-3","top_cluster_string","top_alm_visp_cluster","subclass","corresponding_AIT2.3.1_alias","layer","type","region","cluster_score_string","cluster_score_string_number","rest","top_alm_visp_subclass","Length (bp)","Yield (pg/µl)","User","hold_time","Soma depth (µm)","Soma depth (4x)","Cortical thickness (4x)","Cortical thickness (µm)","Traced","Exclusion reasons","X1","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass","top_cluster_score","depth_from_pia_um","cell_count_per_donor","norm_cell_num","class","second","cluster_label","median_cluster_label_Microglia"
"142",182,"20180424_sample_1","20180424_slice_1",2018-04-24,"sample 1","sample",1,"mouse_MICGF",2018-01-26,88,"F","wt/wt","2/3","2/3","WT",782149,54890,95873,2,2444,"IT","L2/3 IT_3",0.31,"L2/3 IT_3 (31.3%), L6 CT Pou3f2 (15.7%), L4/5 IT_1 (14.9%)","L4 IT VISp Rspo1 (38.0%), L2/3 IT VISp Agmat (30.0%), L2/3 IT VISp Adamts2 (16.0%)","L4 IT VISp Rspo1 (38.0%), L2/3 IT VISp Agmat (30.0%), L2/3 IT VISp Adamts2 (16.0%)","L4 IT VISp Rspo1","L4 IT","L4 IT VISp","L4","IT","VISp","38.0%), L2/3 IT VISp Agmat","38.0",", L2/3 IT VISp Agmat","L4",1817,13.3,"Fede",13,"271.2",97.4,610.3,1684.428,NA,NA,182,"Glutamatergic","L2.3.IT_on",69.7886923420947,0.321927310609141,NA,0.198960577899614,-Inf,0.0177689637911744,NA,-0.0458342962123277,0.141398585534598,-0.0297452197602814,NA,NA,-0.0138205753519634,FALSE,38,271.2,4,1,"Glutamatergic",NA,"L4 IT",0.08134693896947
"143",183,"20180424_sample_2","20180424_slice_2",2018-04-24,"sample 2","sample",2,"mouse_MICGF",2018-01-26,88,"F","wt/wt","2/3","2/3","WT",1795115,1638737,314617,2,11933,"IT","L2/3 IT_3",0.92,"L2/3 IT_3 (92.3%), L4/5 IT_1 (5.0%)","L2/3 IT ALM Macc1 Lrg1 (55.0%), L2/3 IT VISp Agmat (41.0%)","L2/3 IT ALM Macc1 Lrg1 (55.0%), L2/3 IT VISp Agmat (41.0%)","L2.3 IT ALM Macc1 Lrg1","L2.3 IT","L2.3 IT ALM","L2.3","IT","ALM","55.0%), L2/3 IT VISp Agmat","55.0",", L2/3 IT VISp Agmat","L2/3",1633,426.47,"Fede",10,"207.4",72.2,661.7,1826.292,"y",NA,183,"Glutamatergic","L4_on",199.202498803303,0.918898499946346,NA,0.456253475873414,-Inf,0.123493668769886,NA,0.0395041173850559,0.189028520330436,0.14413356409591,NA,NA,-0.0160423559865356,TRUE,55,207.4,4,2,"Glutamatergic",NA,"L2.3 IT",0.195301792141323
"144",184,"20180424_sample_3","20180424_slice_3",2018-04-24,"sample 3","sample",3,"mouse_MICGF",2018-01-26,88,"F","wt/wt","2/3","2/3","WT",1048724,1165612,177348,2,11465,"IT","L2/3 IT_3",0.97,"L2/3 IT_3 (96.9%)","L2/3 IT VISp Agmat (57.0%), L2/3 IT VISp Rrad (41.0%)","L2/3 IT VISp Agmat (57.0%), L2/3 IT VISp Rrad (41.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","57.0%), L2/3 IT VISp Rrad","57.0",", L2/3 IT VISp Rrad","L2/3",1966,342.61,"Fede",10,"272.5",96.1,638.7,1762.812,"y",NA,184,"Glutamatergic","L2.3.IT_on",186.081067260242,0.85837082667668,NA,0.443738582105627,-Inf,0.154126402693035,NA,0.083053565226883,0.0846617374541587,0.0283030556444812,NA,NA,0.0367570036658116,TRUE,57,272.5,4,3,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"145",185,"20180424_sample_6","20180424_slice_6",2018-04-24,"sample 6","sample",6,"mouse_MICGF",2018-01-26,88,"F","wt/wt","2/3","2/3","WT",1266669,864665,123010,2,10365,"IT","L2/3 IT_3",0.89,"L2/3 IT_3 (89.1%), L2/3 IT_2 (7.3%)","L2/3 IT VISp Agmat (84.0%), L2/3 IT VISp Rrad (10.0%), L2/3 IT ALM Ptrf (6.0%)","L2/3 IT VISp Agmat (84.0%), L2/3 IT VISp Rrad (10.0%), L2/3 IT ALM Ptrf (6.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","84.0%), L2/3 IT VISp Rrad","84.0",", L2/3 IT VISp Rrad","L2/3",1749,281.79,"Matteo",10,"391.7",143.4,564.6,1558.296,NA,NA,185,"Glutamatergic","L2.3.IT_on",177.387402840764,0.818267940206447,NA,0.44047933097274,-Inf,0.160692286385157,NA,0.105091792772047,0.246478314588482,0.0617331395459693,NA,NA,0.0337484764389514,TRUE,84,391.7,4,4,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"146",186,"20180425_sample_2","20180425_slice_2",2018-04-25,"sample 2","sample",2,"mouse_HIEAS",2018-01-26,89,"M","wt/wt","2/3","2/3","WT",601260,691169,102112,2,11334,"IT","L2/3 IT_3",1,"L2/3 IT_3 (99.7%)","L2/3 IT VISp Agmat (89.0%), L2/3 IT VISp Rrad (11.0%)","L2/3 IT VISp Agmat (89.0%), L2/3 IT VISp Rrad (11.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","89.0%), L2/3 IT VISp Rrad","89.0",", L2/3 IT VISp Rrad","L2/3",1673,385.68,"Fede",20,"327.8",117.5,568.6,1569.336,"y",NA,186,"Glutamatergic","L5.IT_on",195.163461378535,0.900266879092477,NA,0.448812164685226,-Inf,0.0732095778741651,NA,0.155741386464745,0.299241999972116,0.0560962723972076,NA,NA,0.0664698542279095,TRUE,89,327.8,7,1,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"147",188,"20180425_sample_4","20180425_slice_3",2018-04-25,"sample 4","sample",4,"mouse_HIEAS",2018-01-26,89,"M","wt/wt","2/3","2/3","WT",267116,548077,77559,2,10908,"IT","L2/3 IT_3",0.97,"L2/3 IT_3 (96.9%)","L2/3 IT VISp Agmat (58.0%), L4 IT VISp Rspo1 (22.0%), L2/3 IT VISp Rrad (12.0%)","L2/3 IT VISp Agmat (58.0%), L4 IT VISp Rspo1 (22.0%), L2/3 IT VISp Rrad (12.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","58.0%), L4 IT VISp Rspo1","58.0",", L4 IT VISp Rspo1","L2/3",1709,551.35,"Matteo",10,"295.5",115,566.7,1564.092,NA,NA,188,"Glutamatergic","L4_on",181.360438462843,0.836595102241532,NA,0.448325132565609,-Inf,0.143668173678044,NA,0.0963997670668716,0.204293712431452,0.031304703649319,NA,NA,0.0382480648980211,TRUE,58,295.5,7,3,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"148",192,"20180425_sample_9","20180425_slice_8",2018-04-25,"sample 9","sample",9,"mouse_HIEAS",2018-01-26,89,"M","wt/wt","2/3","2/3","WT",838054,673736,144532,2,12617,"IT","L2/3 IT_3",0.86,"L2/3 IT_3 (85.6%), L5 ET_2 (6.9%), L5 ET_1 (3.0%)","L2/3 IT VISp Rrad (47.0%), Microglia Siglech (34.0%), L2/3 IT VISp Agmat (17.0%)","L2/3 IT VISp Rrad (47.0%), Microglia Siglech (34.0%), L2/3 IT VISp Agmat (17.0%)","L2.3 IT VISp Rrad","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","47.0%), Microglia Siglech","47.0",", Microglia Siglech","L2/3",1990,450.87,"Fede",10,"278.9",100.5,602.4,1662.624,"y",NA,192,"Glutamatergic","L5.IT_on",183.677040636017,0.847281324927947,NA,0.310877834833032,-Inf,0.145972690924295,NA,0.176782195447014,0.814768055997668,0.087475518120397,NA,NA,0.0586605624695179,TRUE,47,278.9,7,7,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"149",193,"20180426_sample_1","20180426_slice_1",2018-04-26,"sample 1","sample",1,"mouse_JLXOV",2018-01-23,93,"M","wt/wt","2/3","2/3","WT",199159,276900,46621,2,12560,"ET","L5 ET_1",0.89,"L5 ET_1 (89.4%), L5 ET_4 (5.6%)","L5 PT VISp Krt80 (62.0%), Oligo Synpr (38.0%)","L5 PT VISp Krt80 (62.0%), Oligo Synpr (38.0%)","L5 PT VISp Krt80","L5 PT","L5 PT VISp","L5","PT","VISp","62.0%), Oligo Synpr","62.0",", Oligo Synpr","L5",1652,277.55,"Fede",12,"159.5",41.9,564.6,1558.296,NA,NA,193,"Glutamatergic","L5.PT_on",161.746463694849,0.746118064550899,NA,0.362098373434057,-Inf,0.209221203685516,NA,0.175147330119249,0.156004279306577,0.820557385155295,NA,NA,0.0846010946686497,TRUE,62,159.5,6,1,"Glutamatergic",NA,"L5 PT",0.202847849190715
"150",194,"20180426_sample_3","20180426_slice_3",2018-04-26,"sample 3","sample",3,"mouse_JLXOV",2018-01-23,93,"M","wt/wt","2/3","2/3","WT",1006533,433936,86420,2,12416,"IT","L2/3 IT_3",0.61,"L2/3 IT_3 (60.7%), L2/3 IT_2 (20.6%), L4/5 IT_2 (8.0%)","L2/3 IT VISp Adamts2 (93.0%), L2/3 IT VISp Agmat (4.0%)","L2/3 IT VISp Adamts2 (93.0%), L2/3 IT VISp Agmat (4.0%)","L2.3 IT VISp Adamts2","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","93.0%), L2/3 IT VISp Agmat","93.0",", L2/3 IT VISp Agmat","L2/3",1632,451.65,"Fede",10,"318.2",119.9,579.4,1599.144,"y",NA,194,"Glutamatergic","L2.3.IT_on",194.587738358633,0.897611134196954,NA,0.459859774822219,-Inf,0.11873012894379,NA,0.0737524788279422,0.214695868508837,0.0337427749938458,NA,NA,0.0112066597757456,TRUE,93,318.2,6,2,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"151",195,"20180426_sample_4","20180426_slice_4",2018-04-26,"sample 4","sample",4,"mouse_JLXOV",2018-01-23,93,"M","wt/wt","2/3","2/3","WT",1478890,70072,102023,2,6280,"IT","L2/3 IT_3",0.71,"L2/3 IT_3 (70.6%), L4/5 IT_1 (10.4%), L4/5 IT_2 (5.3%)","L2/3 IT VISp Agmat (94.0%), L4 IT VISp Rspo1 (3.0%)","L2/3 IT VISp Agmat (94.0%), L4 IT VISp Rspo1 (3.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","94.0%), L4 IT VISp Rspo1","94.0",", L4 IT VISp Rspo1","L2/3",1527,150.14,"Matteo",12,"318.1",116.6,532.7,1470.252,NA,NA,195,"Glutamatergic","L5.IT_on",122.748942439721,0.566226928655324,NA,0.277789481241777,-Inf,0.109066714196406,NA,0.0101493473860444,0.326805256309882,-0.0112769870792047,NA,NA,0.000293103069386199,TRUE,94,318.1,6,3,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"152",197,"20180426_sample_7","20180426_slice_7",2018-04-26,"sample 7","sample",7,"mouse_JLXOV",2018-01-23,93,"M","wt/wt","5","5","WT",958166,1030555,171891,2,10046,"IT","L4/5 IT_2",0.98,"L4/5 IT_2 (98.4%)","L5 IT ALM Lypd1 Gpr88 (62.0%), L5 IT ALM Tmem163 Dmrtb1 (30.0%), L5 IT VISp Hsd11b1 Endou (6.0%)","L5 IT ALM Lypd1 Gpr88 (62.0%), L5 IT ALM Tmem163 Dmrtb1 (30.0%), L5 IT VISp Hsd11b1 Endou (6.0%)","L5 IT ALM Lypd1 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","62.0%), L5 IT ALM Tmem163 Dmrtb1","62.0",", L5 IT ALM Tmem163 Dmrtb1","L5",1639,120.15,"Fede",10,"617",224.2,522.7,1442.652,"y",NA,197,"Glutamatergic","L4_on",172.128610649023,0.794009729162158,NA,0.443890010502607,-Inf,0.136628366563526,NA,0.107942626687644,0.16166135136189,0.039286652829043,NA,NA,-0.0101716025945617,TRUE,62,617,6,5,"Glutamatergic",NA,"L5 IT",0.134980114455821
"153",199,"20180501_sample_2","20180501_slice_2",2018-05-01,"sample 2","sample",2,"mouse_XITQQ",2018-01-23,98,"M","wt/wt","2/3","2/3","WT",186776,276703,39385,3,7638,"IT","L2/3 IT_3",0.94,"L2/3 IT_3 (93.7%), L2/3 IT_2 (1.6%)","L2/3 IT VISp Rrad (73.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%), L2/3 IT VISp Agmat (10.0%)","L2/3 IT VISp Rrad (73.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%), L2/3 IT VISp Agmat (10.0%)","L2.3 IT VISp Rrad","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","73.0%), L2/3 IT ALM Macc1 Lrg1","73.0",", L2/3 IT ALM Macc1 Lrg1","L2/3",1507,399.11,"Matteo",13,"316.7",119,533.2,1471.632,"y",NA,199,"Glutamatergic","L2.3.IT_on",143.249189658624,0.660792240491998,NA,0.446613056782703,-Inf,0.106182792720517,NA,0.0941194477637012,0.079833568248729,0.00422747442356257,NA,NA,0.0143842515226242,TRUE,73,316.7,7,1,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"154",200,"20180501_sample_3","20180501_slice_3",2018-05-01,"sample 3","sample",3,"mouse_XITQQ",2018-01-23,98,"M","wt/wt","2/3","2/3","WT",447147,439373,68020,3,8620,"IT","L2/3 IT_3",0.88,"L2/3 IT_3 (87.9%), L4/5 IT_1 (6.4%), L6 CT Grp (2.0%)","L2/3 IT VISp Agmat (82.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%)","L2/3 IT VISp Agmat (82.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","82.0%), L2/3 IT ALM Macc1 Lrg1","82.0",", L2/3 IT ALM Macc1 Lrg1","L2/3",1513,254.07,"Fede",10,"332.1",124.5,560.2,1546.152,NA,NA,200,"Glutamatergic","L5.IT_on",156.235692127506,0.720697501268812,NA,0.376801617814004,-Inf,0.083352490783406,NA,0.118164690857845,0.232811710386597,-0.000151225057336542,NA,NA,0.043576247919912,TRUE,82,332.1,7,2,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"155",201,"20180501_sample_4","20180501_slice_4",2018-05-01,"sample 4","sample",4,"mouse_XITQQ",2018-01-23,98,"M","wt/wt","2/3","2/3","WT",388240,435814,81761,3,7093,"IT","L2/3 IT_3",0.89,"L2/3 IT_3 (89.1%), L2/3 IT_2 (4.6%), L5 IT_3 (1.1%)","L2/3 IT VISp Agmat (63.0%), L2/3 IT VISp Rrad (33.0%)","L2/3 IT VISp Agmat (63.0%), L2/3 IT VISp Rrad (33.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","63.0%), L2/3 IT VISp Rrad","63.0",", L2/3 IT VISp Rrad","L2/3",1521,146.68,"Matteo",10,"262.7",95.3,579.6,1599.696,"y",NA,201,"Glutamatergic","L6.IT_on",151.576761342536,0.699206382756844,NA,0.357213980519494,-Inf,0.0702854990498877,NA,0.136512955393994,0.153252466967813,-0.000973154210360618,NA,NA,0.028678986867668,TRUE,63,262.7,7,3,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"156",202,"20180501_sample_5","20180501_slice_5",2018-05-01,"sample 5","sample",5,"mouse_XITQQ",2018-01-23,98,"M","wt/wt","2/3","2/3","WT",450111,528804,78660,3,9789,"IT","L2/3 IT_3",0.98,"L2/3 IT_3 (98.4%)","L2/3 IT VISp Rrad (42.0%), L2/3 IT VISp Agmat (32.0%), L2/3 IT ALM Macc1 Lrg1 (25.0%)","L2/3 IT VISp Rrad (42.0%), L2/3 IT VISp Agmat (32.0%), L2/3 IT ALM Macc1 Lrg1 (25.0%)","L2.3 IT VISp Rrad","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","42.0%), L2/3 IT VISp Agmat","42.0",", L2/3 IT VISp Agmat","L2/3",1505,377.25,"Fede",15,"351.8",127.8,578.9,1597.764,"y",NA,202,"Glutamatergic","L2.3.IT_on",146.467120196303,0.675636188543698,NA,0.329156492333688,-Inf,0.220189944704801,NA,0.096982749799777,0.107018292771319,0.550989413301841,NA,NA,0.03413773943491,TRUE,42,351.8,7,4,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"157",208,"20180502_sample_3","20180502_slice_3",2018-05-02,"sample 3","sample",3,"mouse_ZTLGB",2018-02-05,86,"M","wt/wt","5","5","WT",1205135,729151,147191,3,14420,"IT","L4/5 IT_2",0.99,"L4/5 IT_2 (98.7%)","L5 IT ALM Tmem163 Dmrtb1 (100.0%)","L5 IT ALM Tmem163 Dmrtb1 (100.0%)","L5 IT ALM Tmem163 Dmrtb1","L5 IT","L5 IT ALM","L5","IT","ALM","100.0%)","100.0","","L5",2110,679.87,"Fede",10,"537.8",194.3,515,1421.4,"y",NA,208,"Glutamatergic","L4_on",237.52680704351,1.09568418067308,NA,0.601455642519152,Inf,0.110775599727118,NA,0.138917501430494,0.0527240828315659,0.060290268697071,NA,NA,0.0748200738540571,TRUE,100,537.8,4,3,"Glutamatergic",NA,"L5 IT",0.134980114455821
"158",209,"20180502_sample_4","20180502_slice_4",2018-05-02,"sample 4","sample",4,"mouse_ZTLGB",2018-02-05,86,"M","wt/wt","2/3","2/3","WT",588447,28457,41657,3,3876,"IT","L2/3 IT_3",0.62,"L2/3 IT_3 (62.0%), L4/5 IT_1 (11.3%), L2/3 IT_2 (4.6%)","L2/3 IT VISp Adamts2 (62.0%), L2/3 IT VISp Rrad (31.0%), L2/3 IT VISp Agmat (6.0%)","L2/3 IT VISp Adamts2 (62.0%), L2/3 IT VISp Rrad (31.0%), L2/3 IT VISp Agmat (6.0%)","L2.3 IT VISp Adamts2","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","62.0%), L2/3 IT VISp Rrad","62.0",", L2/3 IT VISp Rrad","L2/3",1748,54.66,"Matteo",12,"188.6",67.1,565.2,1559.952,NA,NA,209,"Glutamatergic","L2.3.IT_on",89.692041491946,0.413739199453798,NA,0.189164819876359,-Inf,-0.00182836318074293,NA,0.0037355299209987,0.228603686464086,-0.0297452197602814,NA,NA,-0.0191507643596431,TRUE,62,188.6,4,4,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"159",211,"20180508_sample_2","20180508_slice_2",2018-05-08,"sample 2","sample",2,"mouse_CQEQX",2017-11-23,166,"F","wt/wt","5","5","WT",528204,1481742,398024,3,9377,"IT","L5 IT_1",0.7,"L5 IT_1 (69.6%), L5 IT_2 (13.1%), L4/5 IT_2 (9.9%)","L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (16.0%), L6 IT VISp Penk Fst (15.0%)","L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (16.0%), L6 IT VISp Penk Fst (15.0%)","L5 IT ALM Lypd1 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","44.0%), L5 IT ALM Cbln4 Fezf2","44.0",", L5 IT ALM Cbln4 Fezf2","L5",1505,111.46,"Matteo",13,"744.2",247.9,541,1493.16,NA,NA,211,"Glutamatergic","L5.IT_on",139.525579046381,0.643615647695573,NA,0.413081007390744,-Inf,0.0571597405097165,NA,0.0965842578597371,0.102410572278069,0.092919062791019,NA,NA,0.0552325214954655,TRUE,44,744.2,4,2,"Glutamatergic",NA,"L5 IT",0.134980114455821
"160",212,"20180508_sample_3","20180508_slice_3",2018-05-08,"sample 3","sample",3,"mouse_CQEQX",2017-11-23,166,"F","wt/wt","2/3","2/3","WT",600984,21385,47442,3,4508,"IT","L2/3 IT_3",0.67,"L2/3 IT_3 (67.0%), L2/3 IT_2 (8.9%), L6 CT Grp (7.1%)","L2/3 IT VISp Agmat (89.0%), L2/3 IT ALM Ptrf (7.0%)","L2/3 IT VISp Agmat (89.0%), L2/3 IT ALM Ptrf (7.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","89.0%), L2/3 IT ALM Ptrf","89.0",", L2/3 IT ALM Ptrf","L2/3",1729,16.14,"Fede",10,"220.7",81.9,577.4,1593.624,"y",NA,212,"Glutamatergic","L2.3.IT_on",92.5273065016591,0.42681795489124,NA,0.3148996318093,-Inf,0.0285648876892542,NA,0.0243072162724343,0.0251003996038936,0.0116006044296657,NA,NA,-0.0105400190117335,TRUE,89,220.7,4,3,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"161",213,"20180508_sample_4","20180508_slice_4",2018-05-08,"sample 4","sample",4,"mouse_CQEQX",2017-11-23,166,"F","wt/wt","2/3","2/3","WT",795150,431640,88749,3,7975,"IT","L2/3 IT_3",0.68,"L2/3 IT_3 (67.9%), L2/3 IT_1 (21.4%), L2/3 IT_2 (7.4%)","L2/3 IT VISp Rrad (68.0%), L2/3 IT VISp Adamts2 (28.0%)","L2/3 IT VISp Rrad (68.0%), L2/3 IT VISp Adamts2 (28.0%)","L2.3 IT VISp Rrad","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","68.0%), L2/3 IT VISp Adamts2","68.0",", L2/3 IT VISp Adamts2","L2/3",1506,62.94,"Matteo",12,"213.9",71.4,586.2,1617.912,NA,NA,213,"Glutamatergic","L2.3.IT_on",126.544538871997,0.583735583862828,NA,0.424147488394013,-Inf,0.114489728891632,NA,0.0386689692879254,0.0393867969859833,0.0382831707269352,NA,NA,-0.0217375595801789,TRUE,68,213.9,4,4,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"162",215,"20180509_sample_2","20180509_slice_2",2018-05-09,"sample 2","sample",2,"mouse_QQBBV",2018-02-15,83,"M","wt/wt","2/3","2/3","WT",698049,1524115,278093,3,12383,"IT","L2/3 IT_3",0.99,"L2/3 IT_3 (99.0%)","L2/3 IT VISp Agmat (77.0%), L2/3 IT ALM Macc1 Lrg1 (19.0%)","L2/3 IT VISp Agmat (77.0%), L2/3 IT ALM Macc1 Lrg1 (19.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","77.0%), L2/3 IT ALM Macc1 Lrg1","77.0",", L2/3 IT ALM Macc1 Lrg1","L2/3",1797,276.8,"Matteo",15,"305.7",116.1,577,1592.52,NA,NA,215,"Glutamatergic","L2.3.IT_on",198.641273010821,0.916309629114197,NA,0.48555786334104,-Inf,0.171190976211345,NA,0.165669570042989,0.18696358299806,0.0707249873376456,NA,NA,0.051053458654011,TRUE,77,305.7,7,2,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"163",216,"20180509_sample_3","20180509_slice_3",2018-05-09,"sample 3","sample",3,"mouse_QQBBV",2018-02-15,83,"M","wt/wt","2/3","2/3","WT",1220777,1944348,265250,3,11977,"IT","L2/3 IT_3",0.93,"L2/3 IT_3 (93.1%), L4/5 IT_1 (3.6%)","L2/3 IT VISp Agmat (61.0%), L2/3 IT ALM Macc1 Lrg1 (39.0%)","L2/3 IT VISp Agmat (61.0%), L2/3 IT ALM Macc1 Lrg1 (39.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","61.0%), L2/3 IT ALM Macc1 Lrg1","61.0",", L2/3 IT ALM Macc1 Lrg1","L2/3",1538,320.83,"Fede",10,"338.7",121,586.1,1617.636,"y",NA,216,"Glutamatergic","L4_on",191.819691561698,0.884842448739867,NA,0.479853858372862,-Inf,0.226515189064279,NA,0.0786182821292238,0.0843378031761508,0.0342560179486419,NA,NA,0.036689224456565,TRUE,61,338.7,7,3,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"164",217,"20180509_sample_4","20180509_slice_4",2018-05-09,"sample 4","sample",4,"mouse_QQBBV",2018-02-15,83,"M","wt/wt","2/3","2/3","WT",1290001,1519967,204942,3,11904,"IT","L2/3 IT_3",0.9,"L2/3 IT_3 (89.7%), L4/5 IT_1 (3.6%), L2/3 IT_2 (3.0%)","L2/3 IT ALM Macc1 Lrg1 (66.0%), L2/3 IT VISp Rrad (16.0%), L2/3 IT VISp Agmat (16.0%)","L2/3 IT ALM Macc1 Lrg1 (66.0%), L2/3 IT VISp Rrad (16.0%), L2/3 IT VISp Agmat (16.0%)","L2.3 IT ALM Macc1 Lrg1","L2.3 IT","L2.3 IT ALM","L2.3","IT","ALM","66.0%), L2/3 IT VISp Rrad","66.0",", L2/3 IT VISp Rrad","L2/3",1741,188.94,"Matteo",12,"339.8",113.6,537.3,1482.948,"y",NA,217,"Glutamatergic","L2.3.IT_on",182.011348796243,0.839597677673841,NA,0.454413741418898,-Inf,0.123550964758565,NA,0.0640265574217264,0.209381691432162,0.0394123543870754,NA,NA,0.0741959433703322,TRUE,66,339.8,7,4,"Glutamatergic",NA,"L2.3 IT",0.195301792141323
"165",218,"20180509_sample_5","20180509_slice_3",2018-05-09,"sample 5","sample",5,"mouse_QQBBV",2018-02-15,83,"M","wt/wt","2/3","2/3","WT",1352292,1730462,287098,3,10865,"IT","L2/3 IT_3",0.85,"L2/3 IT_3 (84.9%), L2/3 IT_2 (11.0%)","L2/3 IT VISp Agmat (64.0%), L2/3 IT ALM Macc1 Lrg1 (34.0%)","L2/3 IT VISp Agmat (64.0%), L2/3 IT ALM Macc1 Lrg1 (34.0%)","L2.3 IT VISp Agmat","L2.3 IT","L2.3 IT VISp","L2.3","IT","VISp","64.0%), L2/3 IT ALM Macc1 Lrg1","64.0",", L2/3 IT ALM Macc1 Lrg1","L2/3",1668,146.92,"Fede",12,"250.5",90.7,586.1,1617.636,"y",NA,218,"Glutamatergic","L5.IT_on",168.542960342555,0.777469531585626,NA,0.445994280879855,-Inf,0.207468037289023,NA,0.0532906066948955,0.102149880822136,0.0369117105066082,NA,NA,0.0759704058151425,TRUE,64,250.5,7,5,"Glutamatergic",NA,"L2.3 IT",0.151433364795521
"166",219,"20180509_sample_7","20180509_slice_5",2018-05-09,"sample 7","sample",7,"mouse_QQBBV",2018-02-15,83,"M","wt/wt","5","5","WT",1313590,1475285,224480,3,13027,"IT","L5 IT_1",0.99,"L5 IT_1 (99.4%)","L5 IT ALM Tmem163 Arhgap25 (86.0%), L5 IT VISp Hsd11b1 Endou (7.0%), L5 IT VISp Batf3 (3.0%)","L5 IT ALM Tmem163 Arhgap25 (86.0%), L5 IT VISp Hsd11b1 Endou (7.0%), L5 IT VISp Batf3 (3.0%)","L5 IT ALM Tmem163 Arhgap25","L5 IT","L5 IT ALM","L5","IT","ALM","86.0%), L5 IT VISp Hsd11b1 Endou","86.0",", L5 IT VISp Hsd11b1 Endou","L5",1511,344.77,"Fede",13,"609.4",223.2,540.5,1491.78,"y",NA,219,"Glutamatergic","L5.IT_on",224.775366632488,1.03686323446892,NA,0.474630312006249,Inf,0.20673769262924,NA,0.185895624250103,0.176832968936627,0.067202056613028,NA,NA,0.0553096344129801,TRUE,86,609.4,7,6,"Glutamatergic",NA,"L5 IT",0.134980114455821
